部门,姓名,登记号码,日期时间,机器号,编号,比对方式,卡号
人力资源部,王力,400001,2014/8/1 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/5 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/6 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/7 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/8 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/11 8:35,2,,指纹,
人力资源部,王力,400001,2014/8/12 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/13 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/14 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/15 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/18 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/19 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/20 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/21 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/22 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/25 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/26 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/27 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/28 8:30,2,,指纹,
人力资源部,王力,400001,2014/8/29 8:30,2,,指纹,
