部门,姓名,登记号码,日期时间,机器号,编号,比对方式,卡号
人力资源部,丁柯又,55092,2014/8/1 8:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/4 8:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/5 8:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/6 8:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/7 8:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/8 8:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/11 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/12 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/13 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/14 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/15 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/18 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/19 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/20 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/21 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/22 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/25 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/26 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/27 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/28 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/29 8:30,2,,指纹,
人力资源部,丁柯又,55092,2014/8/1 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/4 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/5 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/6 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/7 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/8 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/11 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/12 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/13 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/14 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/15 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/18 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/19 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/20 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/21 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/22 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/25 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/26 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/27 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/28 17:35,2,,指纹,
人力资源部,丁柯又,55092,2014/8/29 17:35,2,,指纹,
